,Unnamed: 0,Title,University,Link,Country,State,Location,Date
50,6,Quantum-HPC Framework with multi-GPU-Enabled Hybrid Quantum-Classical Workflow: Applications in Quantum Simulations,"Department of Physics and Astronomy, University of Waterloo",https://arxiv.org/pdf/2403.05828v1,Canada,,Canada,3.2024
51,7,One-half reflected entropy is not a lower bound for entanglement of purification,"Department of Physics and Centre for Quantum Information and Quantum Control, University of Toronto",https://arxiv.org/pdf/2309.02506v2,Canada,,Canada,9.2023
52,8,Computational supremacy in quantum simulation,"Department of Physics, Simon Fraser University",https://arxiv.org/pdf/2403.00910v1,Canada,,Canada,3.2024
53,9,The Cytnx Library for Tensor Networks,Frontier Center,https://arxiv.org/pdf/2401.01921v1,Canada,,Canada,1.2024
54,10,CompactifAI: Extreme Compression of Large Language Models using Quantum-Inspired Tensor Networks,"Multiverse Computing, Centre for Social Innovation",https://arxiv.org/pdf/2401.14109v1,Canada,,Canada,1.2024
55,11,Computational supremacy in quantum simulation,Perimeter Institute for Theoretical Physics,https://arxiv.org/pdf/2403.00910v1,Canada,,Canada,3.2024
56,12,Non-Abelian hyperbolic band theory from supercells,"Theoretical Physics Institute, University of Alberta",https://arxiv.org/pdf/2305.04945v2,Canada,,Canada,5.2023
57,13,A quatum inspired neural network for geometric modeling,Universite de Montreal,https://arxiv.org/pdf/2401.01801v2,Canada,,Canada,1.2024
58,14,Computational supremacy in quantum simulation,University of British Columbia,https://arxiv.org/pdf/2403.00910v1,Canada,,Canada,3.2024
59,15,Computational supremacy in quantum simulation,University of Waterloo,https://arxiv.org/pdf/2403.00910v1,Canada,,Canada,3.2024
60,16,Computational supremacy in quantum simulation,"Vector Institute, MaRS Centre, Toronto",https://arxiv.org/pdf/2403.00910v1,Canada,,Canada,3.2024
61,17,One-half reflected entropy is not a lower bound for entanglement of purification,"Vector Institute, MaRS Centre, Toronto, Ontario",https://arxiv.org/pdf/2309.02506v2,Canada,,Canada,9.2023
62,18,Link-area commutators in AdS${}_3$ area-networks,CAS Key Laboratory of Theoretical Physics,https://arxiv.org/pdf/2401.02487v1,China,,China,1.2024
63,19,Ultrafast Excited-State Energy Transfer in Phenylene Ethynylene Dendrimer: Quantum Dynamics with Tensor Network Method,China and University of Chinese Academy of Sciences,https://arxiv.org/pdf/2401.08259v1,China,,China,1.2024
64,20,A quatum inspired neural network for geometric modeling,Chinese Academy of Sciences Huawei Technologies Ltd,https://arxiv.org/pdf/2401.01801v2,China,,China,1.2024
65,21,Validating quantum-supremacy experiments with exact and fast tensor network contraction,Department of Physics and Synergetic Innovation Center,https://arxiv.org/pdf/2212.04749v2,China,,China,12.2022
66,22,Many-body computing on Field Programmable Gate Arrays,East China Normal University,https://arxiv.org/pdf/2402.06415v1,China,,China,2.2024
67,23,Higher-order topological phases in crystalline and non-crystalline systems: a review,Hong Kong University,https://arxiv.org/pdf/2309.03688v3,China,,China,9.2023
68,24,A quatum inspired neural network for geometric modeling,Huawei Technologies Ltd,https://arxiv.org/pdf/2401.01801v2,China,,China,1.2024
69,25,Grassmann Time-Evolving Matrix Product Operators for Quantum Impurity Models,Hunan Normal University,https://arxiv.org/pdf/2308.05279v3,China,,China,8.2023
70,26,Validating quantum-supremacy experiments with exact and fast tensor network contraction,Hunan Normal University,https://arxiv.org/pdf/2212.04749v2,China,,China,12.2022
71,27,Validating quantum-supremacy experiments with exact and fast tensor network contraction,Information Engineering University,https://arxiv.org/pdf/2212.04749v2,China,,China,12.2022
72,28,Link-area commutators in AdS${}_3$ area-networks,"School of Physical Sciences, University of Chinese Academy of Sciences, Beijing",https://arxiv.org/pdf/2401.02487v1,China,,China,1.2024
73,29,Ultrafast Excited-State Energy Transfer in Phenylene Ethynylene Dendrimer: Quantum Dynamics with Tensor Network Method,SCNU Environmental Research Institute,https://arxiv.org/pdf/2401.08259v1,China,,China,1.2024
74,30,Grassmann Time-Evolving Matrix Product Operators for Quantum Impurity Models,Sichuan Normal University,https://arxiv.org/pdf/2308.05279v3,China,,China,8.2023
75,31,Ultrafast Excited-State Energy Transfer in Phenylene Ethynylene Dendrimer: Quantum Dynamics with Tensor Network Method,South China Normal University,https://arxiv.org/pdf/2401.08259v1,China,,China,1.2024
76,32,Quantum 2D Liouville Path-Integral Is a Sum over Geometries in AdS$_3$ Einstein Gravity,South China University,https://arxiv.org/pdf/2403.03179v1,China,,China,3.2024
